#GENE	COV-1-1	COV-10-1	COV-2-1	COV-3-1	COV-4-1	COV-5-1	COV-7-1	COV-8-1	THR-238	THR-303	THR-313	THR-337	THR-369	THR-399	THR-415	THR-417	THR-428	THR-432
AL357140.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357141.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357143.1	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
AL357143.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357146.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357153.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357153.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AL357153.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357153.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357172.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357274.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357312.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357315.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357315.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357373.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357374.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357375.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357497.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357500.1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357500.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357507.1	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
AL357509.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357513.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357514.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357515.1	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AL357518.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357518.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357520.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357522.1	89	10	61	23	58	27	96	12	84	67	139	141	77	76	83	84	49	93
AL357552.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357552.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357552.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357556.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357556.4	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0
AL357558.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357558.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357558.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357559.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357562.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357563.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357568.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357614.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357632.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357673.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AL357673.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357752.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357793.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357793.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357832.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357833.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357835.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357873.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357874.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AL357874.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357874.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
AL357936.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL357972.1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0
AL357992.1	3	1	0	0	3	0	0	0	9	44	3	8	4	11	17	3	2	10
AL358013.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358033.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358053.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358072.1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
AL358074.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358075.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358075.2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
AL358075.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AL358113.1	0	0	0	0	0	0	0	0	21	0	0	0	0	0	10	0	7	3
AL358115.1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
AL358117.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358134.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358154.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358176.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358176.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358176.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358176.4	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
AL358176.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358177.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358178.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358215.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358215.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358215.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358216.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358232.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358232.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358292.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358332.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358333.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358333.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358333.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358334.1	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0
AL358334.2	0	0	0	0	0	0	0	0	2	0	0	0	0	12	17	0	0	8
AL358334.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AL358334.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358335.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358335.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358335.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358354.1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0
AL358393.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358394.1	5	0	14	0	0	0	0	0	0	7	0	0	3	0	0	3	0	3
AL358394.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AL358394.3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
AL358434.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358452.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358453.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AL358472.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AL358472.2	0	0	0	0	0	0	0	0	0	25	0	0	0	9	0	13	0	0
AL358472.3	4	0	0	0	2	0	0	12	0	0	0	0	0	0	0	0	0	1
AL358472.4	0	1	0	0	0	0	9	2	0	0	0	0	0	2	1	1	0	0
AL358472.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358472.6	0	4	0	1	0	0	0	1	8	3	0	0	0	3	2	0	3	0
AL358472.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358473.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358473.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358612.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358613.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358613.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358613.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358777.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358777.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358779.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358780.1	0	0	0	3	1	6	0	0	0	0	0	0	0	0	0	0	0	2
AL358780.2	0	1	0	2	0	4	0	3	0	0	0	0	0	0	0	0	0	1
AL358781.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358781.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358787.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358787.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358790.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AL358790.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358852.1	2	27	21	11	9	0	2	4	7	6	10	55	31	63	22	22	13	2
AL358875.1	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AL358876.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358876.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358913.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358933.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358934.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358937.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358942.1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
AL358944.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0
AL358944.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358972.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358976.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359073.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359075.1	0	1	7	10	0	0	0	0	5	0	0	0	8	0	0	2	1	0
AL359076.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359081.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359091.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359091.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AL359091.3	62	67	27	57	33	61	42	27	78	27	30	12	30	63	25	36	52	18
AL359091.4	0	0	0	0	0	0	0	15	0	0	0	0	0	0	5	0	5	4
AL359092.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359092.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359092.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359094.1	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1	0	1
AL359094.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359095.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359182.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359183.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
AL359195.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359195.2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AL359198.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359198.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359208.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
AL359212.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359219.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359220.1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	8
AL359232.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359233.1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AL359237.1	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
AL359238.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359258.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359258.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359258.3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
AL359259.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359260.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359263.1	16	3	12	5	10	0	7	5	11	8	1	1	0	4	1	3	0	4
AL359265.1	0	0	0	0	2	0	0	0	0	6	12	0	0	17	6	0	1	1
AL359265.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359265.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359273.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359273.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359313.1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AL359314.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359317.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359317.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359378.1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
AL359380.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359382.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359382.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359385.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359385.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359396.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359396.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359397.1	29	1	10	0	9	4	6	4	35	14	7	3	9	26	37	9	13	3
AL359397.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359399.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359436.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359454.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359458.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359475.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359502.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359502.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359504.1	5	2	4	46	3	11	3	5	6	21	4	0	20	7	15	5	17	3
AL359508.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359510.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359510.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359511.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359511.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359511.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359513.1	52	30	42	122	31	22	21	20	23	79	17	15	48	54	20	86	14	14
AL359532.1	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
AL359535.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359538.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359538.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359538.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359538.4	38	14	3	1	4	87	139	1	131	99	26	326	7	73	31	12	47	67
AL359541.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359541.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359546.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359547.1	0	0	0	0	0	0	4	0	0	0	0	0	1	4	0	1	0	0
AL359547.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359551.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
AL359552.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359555.1	0	2	0	0	0	5	18	5	0	0	0	0	0	0	0	0	0	0
AL359555.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359555.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359555.4	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
AL359632.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359633.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359636.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359636.2	222	86	122	31	401	0	3	257	94	52	648	49	12	70	12	44	69	11
AL359641.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359641.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359643.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359643.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359643.3	1	9	0	0	18	0	10	3	0	0	20	0	0	0	0	0	4	0
AL359644.1	1781	1119	1163	500	1294	202	1053	1454	3633	3139	1885	3053	3639	4008	3751	2453	1741	3404
AL359649.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359672.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359682.1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359692.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359693.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359694.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359697.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359704.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359704.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359706.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359710.1	1	0	2	0	0	0	0	7	29	5	8	6	6	30	4	5	6	12
AL359711.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359711.2	0	0	0	26	0	12	5	0	20	2	0	0	0	0	11	0	9	0
AL359715.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
AL359715.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359715.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359715.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359732.1	22	30	2	15	0	7	29	0	0	0	1	1	18	18	0	19	24	5
AL359736.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359736.2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359740.1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359741.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359742.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359745.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359751.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359751.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359757.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359757.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359759.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359762.1	0	0	6	19	11	0	13	25	0	17	0	12	0	3	0	14	0	22
AL359762.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359762.3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359764.1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AL359764.2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
AL359764.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359771.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359771.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359792.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359813.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AL359813.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359821.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359834.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359837.1	9	2	8	76	17	25	5	18	7	3	6	2	3	7	2	6	4	9
AL359839.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AL359839.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359844.1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
AL359845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359851.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359852.1	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0
AL359852.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359853.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359853.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359854.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359878.1	0	0	0	0	0	0	31	3	0	0	0	0	0	7	5	0	0	0
AL359878.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359880.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359881.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359881.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359881.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359885.1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
AL359893.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359893.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359894.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359915.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359916.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359918.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359918.2	16	15	20	15	23	5	24	3	22	13	14	2	15	20	8	7	16	5
AL359918.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359920.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359921.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359921.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359922.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359922.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359922.3	0	0	0	0	0	0	0	0	11	0	0	0	0	0	10	7	0	0
AL359924.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359951.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359955.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AL359955.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359960.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359962.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359962.2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
AL359962.3	6	0	0	3	0	0	2	4	0	0	0	0	0	2	15	0	4	0
AL359963.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359976.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359979.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359979.2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
